frame,cycle,phase,wall_ms,active,started
0,-2,0,27.554002,0,0
1,-1,-149,46.940200,0,0
2,-1,-148,27.564999,0,0
3,-1,-147,24.549600,0,0
4,-1,-146,19.083500,0,0
5,-1,-145,16.447499,0,0
6,-1,-144,16.755201,0,0
7,-1,-143,16.773000,0,0
8,-1,-142,16.330399,0,0
9,-1,-141,16.841602,0,0
10,-1,-140,16.793601,0,0
11,-1,-139,16.574997,0,0
12,-1,-138,16.737401,0,0
13,-1,-137,16.559798,0,0
14,-1,-136,16.621802,0,0
15,-1,-135,16.847298,0,0
16,-1,-134,16.772300,0,0
17,-1,-133,16.740501,0,0
18,-1,-132,16.507100,0,0
19,-1,-131,16.582999,0,0
20,-1,-130,17.274201,0,0
21,-1,-129,16.333301,0,0
22,-1,-128,17.385401,0,0
23,-1,-127,16.366899,0,0
24,-1,-126,16.782600,0,0
25,-1,-125,16.585100,0,0
26,-1,-124,16.477399,0,0
27,-1,-123,16.425699,0,0
28,-1,-122,16.626000,0,0
29,-1,-121,16.584501,0,0
30,-1,-120,16.607899,0,0
31,-1,-119,16.644802,0,0
32,-1,-118,16.775798,0,0
33,-1,-117,16.645800,0,0
34,-1,-116,17.134499,0,0
35,-1,-115,16.255103,0,0
36,-1,-114,16.723000,0,0
37,-1,-113,16.636200,0,0
38,-1,-112,16.503900,0,0
39,-1,-111,16.796898,0,0
40,-1,-110,16.602200,0,0
41,-1,-109,16.686901,0,0
42,-1,-108,16.538698,0,0
43,-1,-107,16.936101,0,0
44,-1,-106,16.491402,0,0
45,-1,-105,16.786899,0,0
46,-1,-104,16.513698,0,0
47,-1,-103,16.713601,0,0
48,-1,-102,16.788099,0,0
49,-1,-101,16.559001,0,0
50,-1,-100,16.699702,0,0
51,-1,-99,16.562197,0,0
52,-1,-98,16.761001,0,0
53,-1,-97,16.542699,0,0
54,-1,-96,16.662400,0,0
55,-1,-95,16.787000,0,0
56,-1,-94,16.580500,0,0
57,-1,-93,16.621400,0,0
58,-1,-92,16.689301,0,0
59,-1,-91,16.641002,0,0
60,-1,-90,16.703498,0,0
61,-1,-89,16.651101,0,0
62,-1,-88,16.957499,0,0
63,-1,-87,16.394801,0,0
64,-1,-86,16.737700,0,0
65,-1,-85,16.672101,0,0
66,-1,-84,16.562499,0,0
67,-1,-83,16.642299,0,0
68,-1,-82,16.646203,0,0
69,-1,-81,16.684100,0,0
70,-1,-80,16.708899,0,0
71,-1,-79,16.644698,0,0
72,-1,-78,16.692102,0,0
73,-1,-77,16.657900,0,0
74,-1,-76,16.646199,0,0
75,-1,-75,16.688600,0,0
76,-1,-74,16.690601,0,0
77,-1,-73,16.617998,0,0
78,-1,-72,16.730800,0,0
79,-1,-71,16.703703,0,0
80,-1,-70,16.627397,0,0
81,-1,-69,16.590603,0,0
82,-1,-68,16.875699,0,0
83,-1,-67,16.543601,0,0
84,-1,-66,16.751997,0,0
85,-1,-65,16.579203,0,0
86,-1,-64,16.596399,0,0
87,-1,-63,16.726401,0,0
88,-1,-62,16.697999,0,0
89,-1,-61,16.620599,0,0
90,-1,-60,16.732302,0,0
91,-1,-59,16.574100,0,0
92,-1,-58,16.918700,0,0
93,-1,-57,16.492698,0,0
94,-1,-56,16.729202,0,0
95,-1,-55,16.596999,0,0
96,-1,-54,16.640898,0,0
97,-1,-53,16.601402,0,0
98,-1,-52,16.687401,0,0
99,-1,-51,16.692497,0,0
100,-1,-50,16.675603,0,0
101,-1,-49,16.634598,0,0
102,-1,-48,16.684901,0,0
103,-1,-47,16.671199,0,0
104,-1,-46,16.632799,0,0
105,-1,-45,16.714603,0,0
106,-1,-44,16.728099,0,0
107,-1,-43,16.722798,0,0
108,-1,-42,16.603202,0,0
109,-1,-41,16.648501,0,0
110,-1,-40,16.606197,0,0
111,-1,-39,16.801700,0,0
112,-1,-38,16.579602,0,0
113,-1,-37,16.750399,0,0
114,-1,-36,16.546499,0,0
115,-1,-35,16.663600,0,0
116,-1,-34,16.788702,0,0
117,-1,-33,16.562600,0,0
118,-1,-32,16.678698,0,0
119,-1,-31,16.640302,0,0
120,-1,-30,16.627099,0,0
121,-1,-29,16.876999,0,0
122,-1,-28,16.486600,0,0
123,-1,-27,16.689401,0,0
124,-1,-26,16.725499,0,0
125,-1,-25,16.552601,0,0
126,-1,-24,16.752299,0,0
127,-1,-23,16.757701,0,0
128,-1,-22,16.555000,0,0
129,-1,-21,16.624302,0,0
130,-1,-20,16.642697,0,0
131,-1,-19,16.684201,0,0
132,-1,-18,16.693301,0,0
133,-1,-17,16.958099,0,0
134,-1,-16,16.569700,0,0
135,-1,-15,16.510699,0,0
136,-1,-14,16.675700,0,0
137,-1,-13,16.642302,0,0
138,-1,-12,16.697098,0,0
139,-1,-11,16.597103,0,0
140,-1,-10,16.667500,0,0
141,-1,-9,16.713500,0,0
142,-1,-8,16.646698,0,0
143,-1,-7,16.653899,0,0
144,-1,-6,16.828001,0,0
145,-1,-5,16.568702,0,0
146,-1,-4,16.746499,0,0
147,-1,-3,16.548999,0,0
148,-1,-2,16.636800,0,0
149,-1,-1,16.735103,0,0
150,-1,0,16.654998,0,0
151,0,-149,16.659401,0,0
152,0,-148,16.718298,0,0
153,0,-147,16.662803,0,0
154,0,-146,16.586699,0,0
155,0,-145,16.709201,0,0
156,0,-144,16.709600,0,0
157,0,-143,16.556598,0,0
158,0,-142,16.665600,0,0
159,0,-141,16.671602,0,0
160,0,-140,16.657900,0,0
161,0,-139,16.689800,0,0
162,0,-138,16.664200,0,0
163,0,-137,16.647100,0,0
164,0,-136,16.661100,0,0
165,0,-135,16.739298,0,0
166,0,-134,16.672701,0,0
167,0,-133,16.655199,0,0
168,0,-132,16.608000,0,0
169,0,-131,16.663000,0,0
170,0,-130,16.713902,0,0
171,0,-129,16.630400,0,0
172,0,-128,16.676500,0,0
173,0,-127,16.837601,0,0
174,0,-126,16.624000,0,0
