frame,cycle,phase,wall_ms,active,started
0,-2,0,32.802302,0,0
1,-1,-149,39.063498,0,0
2,-1,-148,29.212300,0,0
3,-1,-147,27.079202,0,0
4,-1,-146,21.890398,0,0
5,-1,-145,21.088399,0,0
6,-1,-144,18.040203,0,0
7,-1,-143,16.560998,0,0
8,-1,-142,18.216901,0,0
9,-1,-141,16.743202,0,0
10,-1,-140,17.298598,0,0
11,-1,-139,16.338602,0,0
12,-1,-138,16.578399,0,0
13,-1,-137,16.559102,0,0
14,-1,-136,16.935401,0,0
15,-1,-135,17.037600,0,0
16,-1,-134,16.659897,0,0
17,-1,-133,16.897403,0,0
18,-1,-132,16.145498,0,0
19,-1,-131,16.790502,0,0
20,-1,-130,16.466398,0,0
21,-1,-129,16.773000,0,0
22,-1,-128,17.019503,0,0
23,-1,-127,16.523398,0,0
24,-1,-126,17.231200,0,0
25,-1,-125,15.945200,0,0
26,-1,-124,16.499300,0,0
27,-1,-123,16.375601,0,0
28,-1,-122,16.976498,0,0
29,-1,-121,16.195200,0,0
30,-1,-120,16.639400,0,0
31,-1,-119,16.844500,0,0
32,-1,-118,16.557101,0,0
33,-1,-117,16.666498,0,0
34,-1,-116,16.814403,0,0
35,-1,-115,16.574997,0,0
36,-1,-114,16.535200,0,0
37,-1,-113,16.729001,0,0
38,-1,-112,16.876299,0,0
39,-1,-111,16.618501,0,0
40,-1,-110,16.586199,0,0
41,-1,-109,16.556099,0,0
42,-1,-108,16.767401,0,0
43,-1,-107,16.637299,0,0
44,-1,-106,16.941000,0,0
45,-1,-105,16.349800,0,0
46,-1,-104,16.625501,0,0
47,-1,-103,16.744498,0,0
48,-1,-102,16.579002,0,0
49,-1,-101,16.654499,0,0
50,-1,-100,16.787700,0,0
51,-1,-99,16.856901,0,0
52,-1,-98,16.719900,0,0
53,-1,-97,16.441800,0,0
54,-1,-96,16.687900,0,0
55,-1,-95,16.656298,0,0
56,-1,-94,16.839102,0,0
57,-1,-93,16.403999,0,0
58,-1,-92,17.255299,0,0
59,-1,-91,16.043901,0,0
60,-1,-90,16.798001,0,0
61,-1,-89,16.601700,0,0
62,-1,-88,17.640799,0,0
63,-1,-87,16.557898,0,0
64,-1,-86,16.794901,0,0
65,-1,-85,16.859699,0,0
66,-1,-84,16.930401,0,0
67,-1,-83,16.648401,0,0
68,-1,-82,16.569100,0,0
69,-1,-81,16.571797,0,0
70,-1,-80,16.626902,0,0
71,-1,-79,16.802497,0,0
72,-1,-78,16.470201,0,0
73,-1,-77,16.631000,0,0
74,-1,-76,16.795401,0,0
75,-1,-75,17.517801,0,0
76,-1,-74,16.027398,0,0
77,-1,-73,16.549900,0,0
78,-1,-72,16.757302,0,0
79,-1,-71,17.265197,0,0
80,-1,-70,16.900800,0,0
81,-1,-69,16.899500,0,0
82,-1,-68,17.626800,0,0
83,-1,-67,15.805401,0,0
84,-1,-66,16.820300,0,0
85,-1,-65,18.325102,0,0
86,-1,-64,16.852900,0,0
87,-1,-63,16.648699,0,0
88,-1,-62,16.603999,0,0
89,-1,-61,16.550500,0,0
90,-1,-60,16.793299,0,0
91,-1,-59,16.608600,0,0
92,-1,-58,16.694102,0,0
93,-1,-57,17.195698,0,0
94,-1,-56,16.675901,0,0
95,-1,-55,16.216002,0,0
96,-1,-54,16.476598,0,0
97,-1,-53,16.079802,0,0
98,-1,-52,16.559798,0,0
99,-1,-51,16.964000,0,0
100,-1,-50,16.826499,0,0
101,-1,-49,16.444102,0,0
102,-1,-48,16.710799,0,0
103,-1,-47,16.369000,0,0
104,-1,-46,16.627800,0,0
105,-1,-45,16.780701,0,0
106,-1,-44,16.718902,0,0
107,-1,-43,16.639199,0,0
108,-1,-42,16.581800,0,0
109,-1,-41,16.849998,0,0
110,-1,-40,16.770400,0,0
111,-1,-39,16.751699,0,0
112,-1,-38,16.457804,0,0
113,-1,-37,16.722098,0,0
114,-1,-36,16.717698,0,0
115,-1,-35,16.647402,0,0
116,-1,-34,16.745899,0,0
117,-1,-33,16.457800,0,0
118,-1,-32,16.777802,0,0
119,-1,-31,16.413599,0,0
120,-1,-30,17.114099,0,0
121,-1,-29,16.832899,0,0
122,-1,-28,16.431499,0,0
123,-1,-27,16.917802,0,0
124,-1,-26,16.499400,0,0
125,-1,-25,16.454000,0,0
126,-1,-24,16.782500,0,0
127,-1,-23,16.693801,0,0
128,-1,-22,16.936898,0,0
129,-1,-21,16.495999,0,0
130,-1,-20,16.744003,0,0
131,-1,-19,16.648401,0,0
132,-1,-18,16.411699,0,0
133,-1,-17,16.977098,0,0
134,-1,-16,16.289201,0,0
135,-1,-15,16.835000,0,0
136,-1,-14,16.476300,0,0
137,-1,-13,17.011799,0,0
138,-1,-12,16.498301,0,0
139,-1,-11,16.491402,0,0
140,-1,-10,17.147098,0,0
141,-1,-9,16.531702,0,0
142,-1,-8,16.497198,0,0
143,-1,-7,16.975001,0,0
144,-1,-6,16.883701,0,0
145,-1,-5,16.390298,0,0
146,-1,-4,16.555902,0,0
147,-1,-3,16.815398,0,0
148,-1,-2,16.754903,0,0
149,-1,-1,16.824998,0,0
150,-1,0,16.677301,0,0
151,0,-149,16.249299,0,0
152,0,-148,17.229501,0,0
153,0,-147,16.441200,0,0
154,0,-146,16.717497,0,0
155,0,-145,16.625803,0,0
156,0,-144,17.215997,0,0
157,0,-143,16.324501,0,0
158,0,-142,16.578000,0,0
159,0,-141,16.569600,0,0
160,0,-140,16.939200,0,0
161,0,-139,16.805001,0,0
162,0,-138,16.793899,0,0
163,0,-137,16.494002,0,0
164,0,-136,16.558498,0,0
165,0,-135,17.120600,0,0
166,0,-134,17.080400,0,0
167,0,-133,16.061999,0,0
168,0,-132,16.339302,0,0
169,0,-131,16.475800,0,0
170,0,-130,17.186400,0,0
171,0,-129,16.711000,0,0
172,0,-128,16.529400,0,0
173,0,-127,16.687199,0,0
174,0,-126,16.396899,0,0
175,0,-125,17.091502,0,0
176,0,-124,16.748499,0,0
177,0,-123,15.792500,0,0
178,0,-122,17.004400,0,0
179,0,-121,16.525399,0,0
180,0,-120,17.388202,0,0
181,0,-119,26.129499,0,0
182,0,-118,18.078100,0,0
183,0,-117,17.936099,0,0
184,0,-116,16.049098,0,0
185,0,-115,17.024301,0,0
186,0,-114,16.792100,0,0
187,0,-113,16.704701,0,0
188,0,-112,16.567901,0,0
189,0,-111,17.017897,0,0
190,0,-110,16.274400,0,0
191,0,-109,16.629003,0,0
192,0,-108,17.214399,0,0
193,0,-107,16.953100,0,0
194,0,-106,17.111201,0,0
195,0,-105,16.108200,0,0
196,0,-104,16.440000,0,0
197,0,-103,16.762801,0,0
198,0,-102,16.192097,0,0
199,0,-101,17.006602,0,0
200,0,-100,16.432900,0,0
201,0,-99,16.534600,0,0
202,0,-98,16.723298,0,0
203,0,-97,17.172202,0,0
204,0,-96,16.151998,0,0
205,0,-95,16.714700,0,0
206,0,-94,16.506102,0,0
207,0,-93,16.828399,0,0
208,0,-92,16.529199,0,0
209,0,-91,16.942203,0,0
210,0,-90,16.890697,0,0
211,0,-89,16.499899,0,0
212,0,-88,16.357601,0,0
213,0,-87,16.558699,0,0
214,0,-86,16.948503,0,0
215,0,-85,16.450498,0,0
216,0,-84,17.201200,0,0
217,0,-83,16.114701,0,0
218,0,-82,16.665000,0,0
219,0,-81,16.614199,0,0
220,0,-80,16.658500,0,0
221,0,-79,16.720600,0,0
222,0,-78,16.609102,0,0
223,0,-77,16.735997,0,0
224,0,-76,17.112803,0,0
225,0,-75,16.204499,0,0
226,0,-74,16.687401,0,0
227,0,-73,16.619798,0,0
228,0,-72,16.654201,0,0
229,0,-71,16.677201,0,0
230,0,-70,16.657200,0,0
231,0,-69,16.713101,0,0
232,0,-68,16.655400,0,0
233,0,-67,16.654097,0,0
234,0,-66,16.709901,0,0
235,0,-65,16.613901,0,0
236,0,-64,17.820101,0,0
237,0,-63,15.705299,0,0
238,0,-62,16.519498,0,0
239,0,-61,17.005902,0,0
240,0,-60,16.495299,0,0
241,0,-59,16.501900,0,0
242,0,-58,16.786400,0,0
243,0,-57,16.461901,0,0
244,0,-56,16.690899,0,0
245,0,-55,16.772803,0,0
246,0,-54,16.591299,0,0
247,0,-53,16.650900,0,0
248,0,-52,16.738798,0,0
249,0,-51,16.808499,0,0
250,0,-50,16.633403,0,0
251,0,-49,17.383900,0,0
252,0,-48,15.887398,0,0
253,0,-47,16.629402,0,0
254,0,-46,16.554400,0,0
255,0,-45,16.713399,0,0
256,0,-44,16.644001,0,0
257,0,-43,16.659599,0,0
258,0,-42,16.679902,0,0
259,0,-41,16.682297,0,0
260,0,-40,16.627401,0,0
261,0,-39,16.678199,0,0
262,0,-38,16.725700,0,0
263,0,-37,16.612802,0,0
264,0,-36,16.922299,0,0
265,0,-35,16.668200,0,0
266,0,-34,16.476199,0,0
267,0,-33,16.617600,0,0
268,0,-32,16.844701,0,0
269,0,-31,16.531698,0,0
270,0,-30,16.857300,0,0
271,0,-29,16.459003,0,0
272,0,-28,16.628500,0,0
273,0,-27,16.767997,0,0
274,0,-26,16.737603,0,0
275,0,-25,16.485799,0,0
276,0,-24,16.885698,0,0
277,0,-23,16.544301,0,0
278,0,-22,17.341100,0,0
279,0,-21,16.239900,0,0
280,0,-20,16.636699,0,0
281,0,-19,16.375002,0,0
282,0,-18,16.646899,0,0
283,0,-17,16.646400,0,0
284,0,-16,16.639400,0,0
285,0,-15,16.656999,0,0
286,0,-14,16.700603,0,0
287,0,-13,16.609799,0,0
288,0,-12,16.804699,0,0
289,0,-11,16.581301,0,0
290,0,-10,16.663700,0,0
291,0,-9,16.694199,0,0
292,0,-8,17.239202,0,0
293,0,-7,16.112797,0,0
294,0,-6,16.746700,0,0
295,0,-5,16.549002,0,0
296,0,-4,16.636100,0,0
297,0,-3,16.864300,0,0
298,0,-2,16.509902,0,0
299,0,-1,17.398898,0,0
300,0,0,39.461799,1,1
301,0,1,24.561603,1,1
302,0,2,20.813100,1,1
303,0,3,19.106198,1,1
304,0,4,18.699601,1,1
305,0,5,18.238798,1,1
306,0,6,18.147603,1,1
307,0,7,19.200798,1,1
308,0,8,18.285602,1,1
309,0,9,17.436299,1,1
310,0,10,17.782997,1,1
311,0,11,16.840901,1,1
312,0,12,17.000902,1,1
313,0,13,16.358100,1,1
314,0,14,16.746197,1,1
315,0,15,16.685802,1,1
316,0,16,16.690798,1,1
317,0,17,16.677503,1,1
318,0,18,16.757097,1,1
319,0,19,16.912200,1,1
320,0,20,16.813900,1,1
321,0,21,16.437300,1,1
322,0,22,16.446501,1,1
323,0,23,16.826499,1,1
324,0,24,16.684201,1,1
325,0,25,16.649302,1,1
326,0,26,16.937301,1,1
327,0,27,16.422298,1,1
328,0,28,16.664699,1,1
329,0,29,16.388603,1,1
330,0,30,17.065499,1,1
331,0,31,31.763598,1,1
332,0,32,26.484702,1,1
333,0,33,23.151401,1,1
