run,sha,binary_sha256,driver_sha256,quality_sha256,mode,protocol,trace,valid_normal_sample,invalid_environment_frames,case,setup_ms,setup_records,wall_p50,wall_p95,wall_p99,wall_max,wall_count,over_33,over_100,longest_over_33,memory_p50,memory_p95,memory_p99,memory_max,memory_count,records_first,records_last,records_maximum,proxies_first,proxies_last,proxies_maximum,caps_first,caps_last,caps_maximum,textures_first,textures_last,textures_maximum,mids_first,mids_last,mids_maximum,fine_bytes_first,fine_bytes_last,fine_bytes_maximum,working_set_first,working_set_last,working_set_maximum,uobjects_first,uobjects_last,uobjects_maximum,rhi_texture_bytes_first,rhi_texture_bytes_last,rhi_texture_bytes_maximum
PerformanceAudit_FinalBatch01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,Empty,0.10990000009769574,0,16.259500000160187,18.156300000555348,19.215000000258442,19.952200000261655,240,0,0,0,0.1591,0.21430000000000002,0.2711,0.2914,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3261571072,3328331776,3401633792,53499,53499,53499,1934995456,1934897152,1934995456
PerformanceAudit_FinalBatch01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,SameIdentity64,179.26820000138832,64,15.75339999908465,17.733099997712998,32.393400000728434,436.81609999839566,120,1,1,1,0.1618,0.206,25.842200000000002,250.36589999999998,120,64,0,64,64,0,64,64,0,64,64,0,64,192,0,192,21968384,0,21968384,3386773504,3352641536,3397767168,54661,54661,54661,1943040000,1943040000,1943040000
PerformanceAudit_FinalBatch01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,Distributed184,561.2332999990031,184,15.97359999868786,17.24390000163112,18.831699999282137,1354.9990999999864,120,1,1,1,0.1777,0.2275,7.0878000000000005,784.737,120,120,120,120,120,120,120,120,120,120,120,120,120,360,360,360,41157632,41157632,41157632,3494916096,3500224512,3503620096,57615,57615,57615,1966419968,1966419968,1966419968
PerformanceAudit_FinalBatch02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,Empty,0.10800000018207356,0,16.303200001857476,18.435699999827193,18.955899999127723,19.404199996643,240,0,0,0,0.162,0.1987,0.2516,0.26130000000000003,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3244138496,3308539904,3322662912,53499,53499,53499,1934995456,1934897152,1934995456
PerformanceAudit_FinalBatch02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,SameIdentity64,198.0812000001606,64,15.792199999850709,17.312299998593517,18.014799999946263,462.7467999998771,120,1,1,1,0.16190000000000002,0.1941,0.24,257.84860000000003,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3379892224,3346296832,3386257408,54661,54661,54661,1943040000,1943040000,1943040000
PerformanceAudit_FinalBatch02,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,Distributed184,512.1121999982279,184,15.95390000147745,17.556900002091425,17.983599998842692,1288.0851999980223,120,1,1,1,0.18330000000000002,0.22030000000000002,7.1456,767.3678000000001,120,120,120,120,120,120,120,120,120,120,120,120,120,360,360,360,41157632,41157632,41157632,3474821120,3485323264,3490676736,57615,57615,57615,1966419968,1966419968,1966419968
PerformanceAudit_FinalBatch03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,Empty,0.1474999990023207,0,16.36730000245734,18.464699998730794,19.383399998332607,19.957799999247072,240,0,0,0,0.15919999999999998,0.2002,0.2527,0.2714,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3243139072,3300962304,3307081728,53499,53499,53499,1934995456,1934897152,1934995456
PerformanceAudit_FinalBatch03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,SameIdentity64,182.48799999855692,64,15.969100000802428,17.557600000145612,32.82060000128695,439.58980000024894,120,1,1,1,0.1628,0.21180000000000002,26.1405,249.8342,120,64,0,64,64,0,64,64,0,64,64,0,64,192,0,192,21968384,0,21968384,3366367232,3365707776,3390013440,54661,54661,54661,1943040000,1943040000,1943040000
PerformanceAudit_FinalBatch03,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,Batch,False,True,0,Distributed184,516.6299999982584,184,15.941099998599384,17.421399999875575,17.997599999944214,1293.4400999984064,120,1,1,1,0.18009999999999998,0.2276,6.9778,767.9089,120,120,120,120,120,120,120,120,120,120,120,120,120,360,360,360,41157632,41157632,41157632,3484540928,3489411072,3493126144,57615,57615,57615,1966419968,1966419968,1966419968
PerformanceAudit_FinalFrame01,b03bcfbc5ff3c00f56d4da10c52220b706362714,B4BBF92092AFC7D2E7916E9F2F7257C3C8A6FB07774FFBE7C849D7282522F1BE,4889D03A8159A896BE5C742A28E747B5EDF7F594470FCD1CF7E329B78933D670,7fbca98c3e88e7ab4df5da9305ed6eb21cc8c3aef724f0c90c57c302f846f397,Standalone,FrameAudit,False,True,0,Empty,0.12799999967683107,0,16.350099998817313,18.067400000290945,19.311199997900985,19.812499998806743,300,0,0,0,0.159,0.21309999999999998,0.2767,0.3323,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3249868800,3312758784,3318820864,53499,53499,53499,1934995456,1934897152,1934995456
